Weighted F1: 0.2401
Average Location Accuracy: 0.0581
Average Location-Category Joint Accuracy: 0.0094

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3001          0.2119 19        
security                              nan             nan 19        
instruction_adherence             -0.1298          0.5964 19        
plan_optimization                  0.1450          0.5537 19        
overall                            0.1854          0.4473 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.4000     0.1818     0.2500     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        0.8571     0.1667     0.2791     36        
Instruction Non-compliance               0.8125     0.3824     0.5200     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0938     0.1714     32        
Resource Abuse                           0.7500     0.1765     0.2857     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
