Weighted F1: 0.1753
Average Location Accuracy: 0.0532
Average Location-Category Joint Accuracy: 0.0229

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3862          0.0002 87        
security                              nan             nan 87        
instruction_adherence              0.1587          0.1422 87        
plan_optimization                  0.4462          0.0000 87        
overall                            0.3923          0.0002 87        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.6000     0.1429     0.2308     42        
Tool-related                             0.4130     0.5135     0.4578     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.3043     0.1750     0.2222     40        
Formatting Errors                        0.6667     0.0769     0.1379     52        
Instruction Non-compliance               0.5493     0.7091     0.6190     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0833     0.2500     0.1250     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.5000     0.0667     0.1176     30        
Goal Deviation                           0.0000     0.0000     0.0000     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
