Weighted F1: 0.0889
Average Location Accuracy: 0.0444
Average Location-Category Joint Accuracy: 0.0018

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5275          0.0295 17        
security                              nan             nan 17        
instruction_adherence              0.4237          0.0901 17        
plan_optimization                  0.4630          0.0613 17        
overall                            0.4900          0.0459 17        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.2000     0.2500     0.2222     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2000     0.1111     0.1429     9         
Formatting Errors                        0.5000     0.0278     0.0526     36        
Instruction Non-compliance               0.6667     0.1176     0.2000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.4286     0.1765     0.2500     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
