Weighted F1: 0.1413
Average Location Accuracy: 0.0439
Average Location-Category Joint Accuracy: 0.0073

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6628          0.0000 88        
security                              nan             nan 88        
instruction_adherence              0.3936          0.0001 88        
plan_optimization                  0.5562          0.0000 88        
overall                            0.5832          0.0000 88        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3636     0.0952     0.1509     42        
Tool-related                             0.1818     0.0541     0.0833     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.2222     0.1176     0.1538     17        
Incorrect Problem Identification         0.1667     0.0500     0.0769     20        
Tool Selection Errors                    0.3636     0.4000     0.3810     40        
Formatting Errors                        0.4286     0.0577     0.1017     52        
Instruction Non-compliance               0.5926     0.2909     0.3902     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.2500     0.1818     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.2273     0.1667     0.1923     30        
Goal Deviation                           1.0000     0.0299     0.0580     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
