Weighted F1: 0.1265
Average Location Accuracy: 0.0063
Average Location-Category Joint Accuracy: 0.0031

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2357          0.3314 19        
security                              nan             nan 19        
instruction_adherence             -0.2254          0.3535 19        
plan_optimization                  0.0628          0.7984 19        
overall                            0.0004          0.9988 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        1.0000     0.1389     0.2439     36        
Instruction Non-compliance               0.7143     0.1471     0.2439     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.5000     0.1765     0.2609     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
