Weighted F1: 0.3626
Average Location Accuracy: 0.2692
Average Location-Category Joint Accuracy: 0.0887

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3995          0.0007 68        
security                              nan             nan 68        
instruction_adherence              0.1883          0.1241 68        
plan_optimization                  0.1591          0.1951 68        
overall                            0.2794          0.0211 68        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4400     0.5238     0.4783     42        
Tool-related                             0.3793     0.5946     0.4632     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.0536     0.1765     0.0822     17        
Incorrect Problem Identification         0.1270     0.4000     0.1928     20        
Tool Selection Errors                    0.4107     0.5750     0.4792     40        
Formatting Errors                        0.2105     0.1538     0.1778     52        
Instruction Non-compliance               0.5778     0.4727     0.5200     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.2500     0.1818     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1277     0.2222     0.1622     27        
Resource Abuse                           0.0882     0.2000     0.1224     30        
Goal Deviation                           0.6780     0.5970     0.6349     67        
Task Orchestration                       0.5122     0.5385     0.5250     39        
