Weighted F1: 0.1317
Average Location Accuracy: 0.0073
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4526          0.2601 8         
security                              nan             nan 8         
instruction_adherence             -0.7006          0.0529 8         
plan_optimization                  0.0377          0.9295 8         
overall                           -0.2159          0.6076 8         

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.7500     0.3333     0.4615     9         
Formatting Errors                        0.7500     0.0833     0.1500     36        
Instruction Non-compliance               1.0000     0.0882     0.1622     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5000     0.0312     0.0588     32        
Resource Abuse                           0.5000     0.2353     0.3200     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
