Weighted F1: 0.2321
Average Location Accuracy: 0.1523
Average Location-Category Joint Accuracy: 0.0495

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6253          0.0000 84        
security                              nan             nan 84        
instruction_adherence              0.4295          0.0000 84        
plan_optimization                  0.4694          0.0000 84        
overall                            0.5908          0.0000 85        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4821     0.6429     0.5510     42        
Tool-related                             0.2222     0.0541     0.0870     37        
Poor Information Retrieval               0.1667     0.0909     0.1176     22        
Tool Output Misinterpretation            0.2000     0.0588     0.0909     17        
Incorrect Problem Identification         0.2857     0.1000     0.1481     20        
Tool Selection Errors                    0.3256     0.3500     0.3373     40        
Formatting Errors                        0.7500     0.0577     0.1071     52        
Instruction Non-compliance               0.5714     0.0727     0.1290     55        
Tool Definition Issues                   0.2000     0.3333     0.2500     3         
Environment Setup Errors                 0.7500     0.3333     0.4615     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.3333     0.2500     0.2857     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.5000     0.0370     0.0690     27        
Resource Abuse                           0.1111     0.0333     0.0513     30        
Goal Deviation                           0.7333     0.3284     0.4536     67        
Task Orchestration                       0.4615     0.1538     0.2308     39        
