Weighted F1: 0.1097
Average Location Accuracy: 0.0021
Average Location-Category Joint Accuracy: 0.0013

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2604          0.2966 18        
security                              nan             nan 18        
instruction_adherence             -0.1808          0.4874 17        
plan_optimization                 -0.1200          0.6464 17        
overall                            0.1378          0.5856 18        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.3750     0.2727     0.3158     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        0.8000     0.1111     0.1951     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.6000     0.0938     0.1622     32        
Resource Abuse                           0.3333     0.1176     0.1739     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
