Weighted F1: 0.3763
Average Location Accuracy: 0.2783
Average Location-Category Joint Accuracy: 0.0830

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1098          0.3690 69        
security                              nan             nan 69        
instruction_adherence             -0.1307          0.2844 69        
plan_optimization                  0.1636          0.1792 69        
overall                            0.0588          0.6312 69        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4340     0.5476     0.4842     42        
Tool-related                             0.3667     0.5946     0.4536     37        
Poor Information Retrieval               0.0526     0.0455     0.0488     22        
Tool Output Misinterpretation            0.1316     0.2941     0.1818     17        
Incorrect Problem Identification         0.1290     0.4000     0.1951     20        
Tool Selection Errors                    0.4000     0.5500     0.4632     40        
Formatting Errors                        0.3077     0.2308     0.2637     52        
Instruction Non-compliance               0.5370     0.5273     0.5321     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.2500     0.1818     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1111     0.2222     0.1481     27        
Resource Abuse                           0.0870     0.2000     0.1212     30        
Goal Deviation                           0.6935     0.6418     0.6667     67        
Task Orchestration                       0.4419     0.4872     0.4634     39        
