Weighted F1: 0.0972
Average Location Accuracy: 0.0458
Average Location-Category Joint Accuracy: 0.0025

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4599          0.1546 11        
security                              nan             nan 11        
instruction_adherence              0.0633          0.8533 11        
plan_optimization                  0.2839          0.3975 11        
overall                            0.3082          0.3566 11        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.1429     0.2500     0.1818     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.5000     0.1111     0.1818     9         
Formatting Errors                        0.5000     0.0278     0.0526     36        
Instruction Non-compliance               0.5000     0.0294     0.0556     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7500     0.0938     0.1667     32        
Resource Abuse                           0.4000     0.2353     0.2963     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
