Weighted F1: 0.1715
Average Location Accuracy: 0.1588
Average Location-Category Joint Accuracy: 0.0267

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6423          0.0000 87        
security                              nan             nan 87        
instruction_adherence              0.3758          0.0004 86        
plan_optimization                  0.3724          0.0004 86        
overall                            0.5554          0.0000 86        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4762     0.4762     0.4762     42        
Tool-related                             0.3333     0.0270     0.0500     37        
Poor Information Retrieval               0.0667     0.0455     0.0541     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4130     0.4750     0.4419     40        
Formatting Errors                        0.7500     0.0577     0.1071     52        
Instruction Non-compliance               1.0000     0.0545     0.1034     55        
Tool Definition Issues                   0.3333     0.3333     0.3333     3         
Environment Setup Errors                 0.5000     0.2222     0.3077     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.2000     0.2500     0.2222     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.6667     0.1333     0.2222     30        
Goal Deviation                           0.9000     0.1343     0.2338     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
