Weighted F1: 0.2335
Average Location Accuracy: 0.1169
Average Location-Category Joint Accuracy: 0.0224

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6931          0.0000 63        
security                              nan             nan 63        
instruction_adherence              0.3219          0.0107 62        
plan_optimization                  0.6245          0.0000 62        
overall                            0.6414          0.0000 63        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4865     0.4286     0.4557     42        
Tool-related                             0.6000     0.0811     0.1429     37        
Poor Information Retrieval               0.1250     0.0909     0.1053     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         1.0000     0.0500     0.0952     20        
Tool Selection Errors                    0.4412     0.3750     0.4054     40        
Formatting Errors                        0.5000     0.0192     0.0370     52        
Instruction Non-compliance               0.8750     0.1273     0.2222     55        
Tool Definition Issues                   0.2500     0.3333     0.2857     3         
Environment Setup Errors                 0.8000     0.4444     0.5714     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           1.0000     1.0000     1.0000     2         
Context Handling Failures                0.3333     0.0370     0.0667     27        
Resource Abuse                           0.4444     0.1333     0.2051     30        
Goal Deviation                           0.6786     0.2836     0.4000     67        
Task Orchestration                       0.5455     0.1538     0.2400     39        
