Weighted F1: 0.3644
Average Location Accuracy: 0.2388
Average Location-Category Joint Accuracy: 0.0623

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6274          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.1056          0.3218 90        
plan_optimization                  0.4776          0.0000 90        
overall                            0.5353          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4355     0.6429     0.5192     42        
Tool-related                             0.1000     0.0270     0.0426     37        
Poor Information Retrieval               0.2917     0.3182     0.3043     22        
Tool Output Misinterpretation            0.1875     0.3529     0.2449     17        
Incorrect Problem Identification         0.1739     0.2000     0.1860     20        
Tool Selection Errors                    0.4247     0.7750     0.5487     40        
Formatting Errors                        0.2500     0.1154     0.1579     52        
Instruction Non-compliance               0.5636     0.5636     0.5636     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1818     0.1481     0.1633     27        
Resource Abuse                           0.2308     0.1000     0.1395     30        
Goal Deviation                           0.6970     0.6866     0.6917     67        
Task Orchestration                       0.3594     0.5897     0.4466     39        
