Weighted F1: 0.3532
Average Location Accuracy: 0.0544
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2571          0.2880 19        
security                              nan             nan 19        
instruction_adherence              0.2481          0.3058 19        
plan_optimization                 -0.0564          0.8187 19        
overall                            0.0263          0.9150 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.7500     0.2143     0.3333     14        
Tool-related                             0.1429     0.2500     0.1818     4         
Poor Information Retrieval               0.3636     0.3636     0.3636     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.4286     0.3333     0.3750     9         
Formatting Errors                        0.7500     0.1667     0.2727     36        
Instruction Non-compliance               0.7692     0.2941     0.4255     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.6923     0.2812     0.4000     32        
Resource Abuse                           0.4706     0.4706     0.4706     17        
Goal Deviation                           0.2500     0.3333     0.2857     3         
Task Orchestration                       0.3333     0.1667     0.2222     6         
