model,benchmark,method,P,R,F1,src
Mistral-Small-24B,TRAIL-GAIA,+CG,0.2227,0.2048,0.1952,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_mistralai-Mistral-Small-3.1-24B-Instruct-2503-GAIA_dedup-graph_causal_only-metrics.txt
Gemini-2.5-Flash,TRAIL-GAIA,Baseline,0.4417,0.3468,0.3538,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_gemini-gemini-2.5-flash-GAIA_dedup-metrics.txt
Gemini-2.5-Flash,TRAIL-SWE,+GI+SI,0.3365,0.1787,0.1486,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_gemini-gemini-2.5-flash-SWE Bench-graph_inject_causal_only_span_index-metrics.txt
Mistral-Small-24B,TRAIL-SWE,Baseline,0.1581,0.0268,0.0429,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_mistralai-Mistral-Small-3.1-24B-Instruct-2503-SWE_Bench_dedup-metrics.txt
Mistral-Small-24B,TRAIL-GAIA,+GI+SI,0.2785,0.2526,0.2455,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_mistralai-Mistral-Small-3.1-24B-Instruct-2503-GAIA_dedup-graph_inject_causal_only_span_index-metrics.txt
Mistral-Small-24B,TRAIL-GAIA,Baseline,0.3272,0.1984,0.2116,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_mistralai-Mistral-Small-3.1-24B-Instruct-2503-GAIA_dedup-metrics.txt
Mistral-Small-24B,TRAIL-SWE,+GI+SI,0.1442,0.0225,0.0350,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_mistralai-Mistral-Small-3.1-24B-Instruct-2503-SWE_Bench_dedup-graph_inject_causal_only_span_index-metrics.txt
QwenLong-L1-32B,TRAIL-SWE,Baseline,0.1154,0.0091,0.0160,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_Tongyi-Zhiwen-QwenLong-L1-32B-SWE_Bench_dedup-metrics.txt
QwenLong-L1-32B,TRAIL-SWE,+CG,0.2143,0.0326,0.0501,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_Tongyi-Zhiwen-QwenLong-L1-32B-SWE_Bench_dedup-graph_causal_only-metrics.txt
QwenLong-L1-32B,TRAIL-SWE,+GI+SI,0.1809,0.0560,0.0749,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_Tongyi-Zhiwen-QwenLong-L1-32B-SWE_Bench_dedup-graph_inject_causal_only_span_index-metrics.txt
