,Authentication Errors,Context Handling Failures,Environment Setup Errors,Formatting Errors,Goal Deviation,Incorrect Problem Identification,Instruction Non-compliance,Language-only,Poor Information Retrieval,Resource Abuse,Resource Exhaustion,Resource Not Found,Service Errors,Task Orchestration,Timeout Issues,Tool Definition Issues,Tool Output Misinterpretation,Tool Selection Errors,Tool-related
Authentication Errors,0.0,0.0,0.086479,0.113873,0.0,0.0,0.0,0.0,0.0,0.099264,0.0,0.0,0.0,0.0,0.0,0.0,0.084569,0.048669,0.0
Context Handling Failures,0.0,0.0,0.0,0.286568,0.0,0.1039,0.037172,0.0,0.126053,0.083838,0.0,0.001643,0.069611,0.0,0.0,0.001643,0.050259,0.0,0.0
Environment Setup Errors,0.010178,0.0,0.0,0.165354,0.147639,0.082275,0.0,0.149512,0.075362,0.125138,0.079811,0.0,0.0,0.081785,0.079811,0.0,0.146128,0.0,0.079569
Formatting Errors,0.108143,1.0,0.091234,0.0,0.0,1.0,0.239357,0.0,1.0,1.0,0.068342,0.120376,0.068342,0.0,0.068342,0.0,1.0,0.0,0.0
Goal Deviation,0.0,0.0,0.103882,0.0,0.0,0.0529,0.0,0.095716,0.0,0.0,0.0,0.066987,0.0,0.083997,0.0,0.004076,0.060832,0.088794,0.114632
Incorrect Problem Identification,0.0,0.21107,0.010007,0.150495,0.107831,0.0,0.000768,0.117313,0.0,0.123229,0.074679,0.0,0.0,0.158906,0.074679,0.0,1.0,0.070476,0.0
Instruction Non-compliance,0.0,1.0,0.0,0.100938,0.0,0.177778,0.0,0.336152,0.0,0.0,0.068192,0.062721,0.0,0.0,0.068192,0.0,0.0,0.0,0.0
Language-only,0.0,0.0,0.010187,0.0,0.100745,0.057701,0.041529,0.0,0.0,0.0,0.069355,0.0,0.0,0.103822,0.069355,0.001344,0.0,0.036469,0.0
Poor Information Retrieval,0.0,0.319255,0.003809,0.259247,0.0,0.0,0.0,0.0,0.0,0.348187,0.0,0.004033,0.005142,0.0,0.0,0.0,0.117011,0.0,0.173879
Resource Abuse,0.063892,0.361963,0.057773,0.296825,0.0,0.105732,0.0,0.0,0.266302,0.0,0.0,0.068245,0.0,0.0,0.0,0.0,0.148071,0.0,0.185672
Resource Exhaustion,0.0,0.0,0.1,0.05454,0.0,0.09537,0.049909,0.073104,0.0,0.0,0.0,0.0,0.0,0.081447,0.0,0.0,0.0,0.0,0.0
Resource Not Found,0.0,0.088933,0.0,0.09432,0.007298,0.0,0.143452,0.0,0.102034,0.191572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026011
Service Errors,0.0,0.075878,0.0,0.05454,0.0,0.0,0.0,0.0,0.155539,0.0,0.0,0.0,0.0,0.081447,0.0,0.0,0.0,0.0,0.0
Task Orchestration,0.0,0.0,0.005174,0.0,0.245813,0.1267,0.0,1.0,0.0,0.0,0.070283,0.0,0.070283,0.0,0.070283,0.002411,0.198518,0.110549,0.0
Timeout Issues,0.0,0.0,0.1,0.05454,0.0,0.09537,0.049909,0.073104,0.0,0.0,0.0,0.0,0.0,0.081447,0.0,0.0,0.0,0.0,0.0
Tool Definition Issues,0.0,0.088933,0.0,0.0,0.128237,0.0,0.0,0.086127,0.0,0.0,0.0,0.0,0.0,0.094555,0.0,0.0,0.0,0.0,0.092678
Tool Output Misinterpretation,0.007458,0.101373,0.025898,0.19386,0.185426,0.135293,0.0,0.0,0.005194,0.082568,0.0,0.0,0.0,0.048878,0.0,0.0,0.0,0.0,0.0
Tool Selection Errors,0.122864,0.0,0.0,0.0,1.0,0.064239,0.0,0.157596,0.0,0.0,0.0,0.0,0.0,0.110549,0.0,0.0,0.0,0.0,0.0
Tool-related,0.0,0.0,0.109631,0.0,1.0,0.0,0.0,0.0,0.130029,0.188312,0.0,0.06879,0.0,0.0,0.0,0.002123,0.0,0.0,0.0
