src,dst,src_id,dst_id,precedence,pr_delta,pr_delta_norm,precedence_n,s_obs,is_causal,weight
Resource Exhaustion,Environment Setup Errors,10,2,0.0,0.9391,1.0,1,0.1,False,0.1
Timeout Issues,Environment Setup Errors,14,2,0.0,0.9391,1.0,1,0.1,False,0.1
Resource Exhaustion,Incorrect Problem Identification,10,5,0.0,0.8957,0.953697,1,0.09537,False,0.09537
Timeout Issues,Incorrect Problem Identification,14,5,0.0,0.8957,0.953697,1,0.09537,False,0.09537
Service Errors,Poor Information Retrieval,12,8,1.0,0.8348,0.888723,1,0.155539,False,0.155539
Resource Exhaustion,Task Orchestration,10,13,0.0,0.7652,0.814467,1,0.081447,False,0.081447
Service Errors,Task Orchestration,12,13,0.0,0.7652,0.814467,1,0.081447,False,0.081447
Timeout Issues,Task Orchestration,14,13,0.0,0.7652,0.814467,1,0.081447,False,0.081447
Resource Not Found,Resource Abuse,11,9,0.5,0.7368,0.784167,2,0.191572,False,0.191572
Service Errors,Context Handling Failures,12,1,0.0,0.713,0.758775,1,0.075878,False,0.075878
Resource Exhaustion,Language-only,10,7,0.0,0.687,0.731036,1,0.073104,False,0.073104
Timeout Issues,Language-only,14,7,0.0,0.687,0.731036,1,0.073104,False,0.073104
Tool Definition Issues,Goal Deviation,15,4,1.0,0.5789,0.615705,1,0.128237,False,0.128237
Resource Not Found,Formatting Errors,11,3,0.0,0.5175,0.550197,2,0.09432,False,0.09432
Resource Exhaustion,Formatting Errors,10,3,0.0,0.513,0.545396,1,0.05454,False,0.05454
Service Errors,Formatting Errors,12,3,0.0,0.513,0.545396,1,0.05454,False,0.05454
Timeout Issues,Formatting Errors,14,3,0.0,0.513,0.545396,1,0.05454,False,0.05454
Context Handling Failures,Formatting Errors,1,3,0.0385,0.5115,0.543796,26,0.286568,False,0.286568
Resource Abuse,Formatting Errors,9,3,0.1429,0.4866,0.51723,21,0.296825,False,0.296825
Resource Not Found,Instruction Non-compliance,11,6,0.5,0.4737,0.503467,2,0.143452,False,0.143452
Resource Exhaustion,Instruction Non-compliance,10,6,0.0,0.4696,0.499093,1,0.049909,False,0.049909
Timeout Issues,Instruction Non-compliance,14,6,0.0,0.4696,0.499093,1,0.049909,False,0.049909
Poor Information Retrieval,Resource Abuse,8,9,0.5455,0.4521,0.480422,11,0.348187,False,0.348187
Tool Output Misinterpretation,Incorrect Problem Identification,16,5,0.0,0.4245,0.450976,5,0.135293,False,0.135293
Formatting Errors,Context Handling Failures,3,1,0.9615,0.424,0.450443,26,0.549242,True,1.0
Tool Selection Errors,Goal Deviation,17,4,1.0,0.4205,0.446709,4,0.2969,True,1.0
