backbone,benchmark,variant,scope,weighted_f1,weighted_f1_std,n_samples,loc,joint,macro_f1
mistral-24b,trail,baseline,temp0.7_sample1,0.2708226455858392,,,0.21762923637923642,0.039004914004914,
mistral-24b,trail,baseline,temp0.7_sample2,0.3051681851111383,,,0.2499249249249249,0.04857625482625483,
mistral-24b,trail,baseline,temp0.7_sample3,0.27198190615407875,,,0.2486727799227799,0.05395752895752896,
mistral-24b,trail,baseline,temp0.7_mean,0.2826575789503521,0.019503371851061775,3,,,
mistral-24b,trail,edge,temp0.7_sample1,0.26358313183929016,,,0.1718093093093093,0.03186936936936936,
mistral-24b,trail,edge,temp0.7_sample2,0.338720291037118,,,0.28359609609609615,0.05274024024024025,
mistral-24b,trail,edge,temp0.7_sample3,0.37125828939181216,,,0.2933183183183184,0.07019787644787645,
mistral-24b,trail,edge,temp0.7_mean,0.32452057075607343,0.0552241698039458,3,,,
mistral-24b,mast,baseline,temp0.7_sample1,0.3583,,,,,0.2749
mistral-24b,mast,baseline,temp0.7_sample2,0.3228,,,,,0.235
mistral-24b,mast,baseline,temp0.7_sample3,0.3322,,,,,0.2527
mistral-24b,mast,baseline,temp0.7_mean,0.33776666666666666,0.018393024039927038,3,,,
mistral-24b,mast,edge,temp0.7_sample1,0.3819,,,,,0.2925
mistral-24b,mast,edge,temp0.7_sample2,0.3297,,,,,0.2394
mistral-24b,mast,edge,temp0.7_sample3,0.3469,,,,,0.2626
mistral-24b,mast,edge,temp0.7_mean,0.35283333333333333,0.02660100248737506,3,,,
gpt-oss-120b,trail,baseline,temp0.7_sample1,0.210377465691401,,,0.12079579579579576,0.02331081081081081,
gpt-oss-120b,trail,baseline,temp0.7_sample2,0.2149956515827591,,,0.10566816816816815,0.03914092664092664,
gpt-oss-120b,trail,baseline,temp0.7_sample3,0.22887602628576142,,,0.13243243243243244,0.04314671814671815,
gpt-oss-120b,trail,baseline,temp0.7_mean,0.21808304785330718,0.009627990331027117,3,,,
gpt-oss-120b,mast,baseline,temp0.7_sample1,0.2325,,,,,0.1695
gpt-oss-120b,mast,baseline,temp0.7_sample2,0.2283,,,,,0.1666
gpt-oss-120b,mast,baseline,temp0.7_sample3,0.2153,,,,,0.157
gpt-oss-120b,mast,baseline,temp0.7_mean,0.22536666666666666,0.008967348177322743,3,,,
gpt-oss-120b,mast,edge,temp0.7_sample1,0.2782,,,,,0.2064
gpt-oss-120b,mast,edge,temp0.7_sample2,0.2574,,,,,0.1859
gpt-oss-120b,mast,edge,temp0.7_sample3,0.2681,,,,,0.1916
gpt-oss-120b,mast,edge,temp0.7_mean,0.2679,0.010401442207694078,3,,,
gpt-oss-20b,trail,baseline,temp0.7_sample1,0.21224361835491518,,,0.05146396396396396,0.016441441441441444,
gpt-oss-20b,trail,baseline,temp0.7_sample2,0.21047792863088013,,,0.05653153153153152,0.017519305019305022,
gpt-oss-20b,trail,baseline,temp0.7_sample3,0.2019442252253816,,,0.0697072072072072,0.010102960102960103,
gpt-oss-20b,trail,baseline,temp0.7_mean,0.2082219240703923,0.0055078618484741635,3,,,
gpt-oss-20b,mast,baseline,temp0.7_sample1,0.1848,,,,,0.129
gpt-oss-20b,mast,baseline,temp0.7_sample2,0.1785,,,,,0.1223
gpt-oss-20b,mast,baseline,temp0.7_sample3,0.1726,,,,,0.1191
gpt-oss-20b,mast,baseline,temp0.7_mean,0.17863333333333334,0.006101092798288948,3,,,
gpt-oss-20b,mast,edge,temp0.7_sample1,0.1991,,,,,0.1419
gpt-oss-20b,mast,edge,temp0.7_sample2,0.2217,,,,,0.1563
gpt-oss-20b,mast,edge,temp0.7_sample3,0.2287,,,,,0.1594
gpt-oss-20b,mast,edge,temp0.7_mean,0.2165,0.015469970911414149,3,,,
gemma-3-27b,trail,baseline,temp0.7_sample1,0.13842566230885708,,,0.033285070785070786,0.009009009009009009,
gemma-3-27b,trail,baseline,temp0.7_sample2,0.13842566230885708,,,0.033285070785070786,0.009009009009009009,
gemma-3-27b,trail,baseline,temp0.7_sample3,0.14095944609264088,,,0.03521557271557272,0.01036036036036036,
gemma-3-27b,trail,baseline,temp0.7_mean,0.13927025690345168,0.0014628807496358852,3,,,
gemma-3-27b,trail,edge,temp0.7_sample1,0.2020375120692651,,,0.07833011583011583,0.009234234234234234,
gemma-3-27b,trail,edge,temp0.7_sample2,0.2020375120692651,,,0.07833011583011583,0.009234234234234234,
gemma-3-27b,trail,edge,temp0.7_sample3,0.2020375120692651,,,0.07833011583011583,0.009234234234234234,
gemma-3-27b,mast,baseline,temp0.7_sample1,0.1762,,,,,0.1138
gemma-3-27b,mast,baseline,temp0.7_sample2,0.1848,,,,,0.1136
gemma-3-27b,mast,baseline,temp0.7_sample3,0.1684,,,,,0.1056
gemma-3-27b,mast,baseline,temp0.7_mean,0.17646666666666666,0.00820325138791524,3,,,
gemma-3-27b,mast,edge,temp0.7_sample1,0.2255,,,,,0.1455
gemma-3-27b,mast,edge,temp0.7_sample2,0.2313,,,,,0.1557
gemma-3-27b,mast,edge,temp0.7_sample3,0.237,,,,,0.1536
gemma-3-27b,mast,edge,temp0.7_mean,0.23126666666666668,0.005750072463311504,3,,,
qwenlong-32b,trail,baseline,temp0.7_sample1,0.14483166100101688,,,0.059346846846846844,0.014189189189189187,
qwenlong-32b,trail,baseline,temp0.7_sample2,0.14483166100101688,,,0.059346846846846844,0.014189189189189187,
qwenlong-32b,trail,baseline,temp0.7_sample3,0.14483166100101688,,,0.059346846846846844,0.014189189189189187,
qwenlong-32b,mast,baseline,temp0.7_sample1,0.1381,,,,,0.0973
qwenlong-32b,mast,baseline,temp0.7_sample2,0.1414,,,,,0.1036
