backbone,benchmark,variant,scope,weighted_f1,weighted_f1_std,n_samples,loc,joint,macro_f1
mistral-24b,trail-GAIA,baseline,temp0.7_sample1,0.2704110602971867,,,0.2484330484330485,0.04856254856254856,
mistral-24b,trail-SWE,baseline,temp0.7_sample1,0.2723760481268824,,,0.10136968766001025,0.002932551319648094,
mistral-24b,trail-GAIA,baseline,temp0.7_sample2,0.3147070821776554,,,0.3,0.060836385836385835,
mistral-24b,trail-SWE,baseline,temp0.7_sample2,0.26916654134396073,,,0.06093189964157706,0.002304147465437788,
mistral-24b,trail-GAIA,baseline,temp0.7_sample3,0.2953439502008511,,,0.2913105413105413,0.061691086691086694,
mistral-24b,trail-SWE,baseline,temp0.7_sample3,0.18380903023561532,,,0.08774961597542241,0.024769585253456218,
mistral-24b,trail-GAIA,baseline,temp0.7_mean,0.2934873642252311,0.02220629577895405,3,,,
mistral-24b,trail-SWE,baseline,temp0.7_mean,0.24178387323548614,0.05023332608032399,3,,,
mistral-24b,mast,baseline,temp0.7_sample1,0.3583,,,,,0.2749
mistral-24b,mast,baseline,temp0.7_sample2,0.3228,,,,,0.235
mistral-24b,mast,baseline,temp0.7_sample3,0.3322,,,,,0.2527
mistral-24b,mast,baseline,temp0.7_mean,0.33776666666666666,0.018393024039927038,3,,,
mistral-24b,mast,edge,temp0.7_sample1,0.3819,,,,,0.2925
mistral-24b,mast,edge,temp0.7_sample2,0.3608,,,,,0.271
mistral-24b,mast,edge,temp0.7_sample3,0.3638,,,,,0.2882
mistral-24b,mast,edge,temp0.7_mean,0.36883333333333335,0.011415048547129943,3,,,
gpt-oss-120b,trail-GAIA,baseline,temp0.7_sample1,0.2518152067340146,,,0.14487179487179488,0.05742775742775743,
gpt-oss-120b,trail-SWE,baseline,temp0.7_sample1,0.23648934764640903,,,0.06656426011264721,0.004032258064516129,
gpt-oss-120b,trail-GAIA,baseline,temp0.7_sample2,0.23701100790287394,,,0.17806267806267806,0.06155881155881156,
gpt-oss-120b,trail-SWE,baseline,temp0.7_sample2,0.22085178157284416,,,0.03609831029185868,0.004032258064516129,
gpt-oss-120b,trail-GAIA,baseline,temp0.7_sample3,0.23992301109548686,,,0.18133903133903134,0.06725681725681726,
gpt-oss-120b,trail-SWE,baseline,temp0.7_sample3,0.22787198204732026,,,0.019969278033794162,0.004032258064516129,
gpt-oss-120b,trail-GAIA,baseline,temp0.7_mean,0.24291640857745847,0.007842920190961526,3,,,
gpt-oss-120b,trail-SWE,baseline,temp0.7_mean,0.22840437042219114,0.007832365301270747,3,,,
gpt-oss-120b,trail-GAIA,edge,temp0.7_sample1,0.308121114092782,,,0.22236467236467236,0.09361009361009362,
gpt-oss-120b,trail-SWE,edge,temp0.7_sample1,0.36542915205903315,,,0.014336917562724014,0.0,
gpt-oss-120b,trail-GAIA,edge,temp0.7_sample2,0.3466354624356599,,,0.2294871794871795,0.06783679283679284,
gpt-oss-120b,trail-SWE,edge,temp0.7_sample2,0.38940988681236244,,,0.005376344086021505,0.0,
gpt-oss-120b,trail-GAIA,edge,temp0.7_sample3,0.3507444774001757,,,0.17706552706552706,0.05592185592185593,
gpt-oss-120b,trail-SWE,edge,temp0.7_sample3,0.39555043283396424,,,0.02258064516129032,0.0,
gpt-oss-120b,trail-GAIA,edge,temp0.7_mean,0.33516701797620585,0.023512373096908068,3,,,
gpt-oss-120b,trail-SWE,edge,temp0.7_mean,0.3834631572351199,0.01591683333390145,3,,,
gpt-oss-120b,mast,baseline,temp0.7_sample1,0.2325,,,,,0.1695
gpt-oss-120b,mast,baseline,temp0.7_sample2,0.2283,,,,,0.1666
gpt-oss-120b,mast,baseline,temp0.7_sample3,0.2153,,,,,0.157
gpt-oss-120b,mast,baseline,temp0.7_mean,0.22536666666666666,0.008967348177322743,3,,,
gpt-oss-120b,mast,edge,temp0.7_sample1,0.2782,,,,,0.2064
gpt-oss-120b,mast,edge,temp0.7_sample2,0.2574,,,,,0.1859
gpt-oss-120b,mast,edge,temp0.7_sample3,0.2681,,,,,0.1916
gpt-oss-120b,mast,edge,temp0.7_mean,0.2679,0.010401442207694078,3,,,
gpt-oss-20b,trail-GAIA,baseline,temp0.7_sample1,0.22540954889769843,,,0.0997150997150997,0.030138380138380137,
gpt-oss-20b,trail-SWE,baseline,temp0.7_sample1,0.14792533818938605,,,0.01075268817204301,0.0032258064516129032,
gpt-oss-20b,trail-GAIA,baseline,temp0.7_sample2,0.21179358704393184,,,0.07863247863247863,0.032621082621082625,
gpt-oss-20b,trail-SWE,baseline,temp0.7_sample2,0.17157231849700608,,,0.02186379928315412,0.011059907834101382,
gpt-oss-20b,trail-GAIA,baseline,temp0.7_sample3,0.21182773928347545,,,0.07293447293447293,0.020594220594220593,
gpt-oss-20b,trail-SWE,baseline,temp0.7_sample3,0.08548387096774195,,,0.017025089605734765,0.0,
gpt-oss-20b,trail-GAIA,baseline,temp0.7_mean,0.21634362507503524,0.00785133890891327,3,,,
gpt-oss-20b,trail-SWE,baseline,temp0.7_mean,0.13499384255137803,0.04447721758469814,3,,,
gpt-oss-20b,trail-GAIA,edge,temp0.7_sample1,0.26656977154484074,,,0.08632478632478632,0.02236467236467236,
gpt-oss-20b,trail-SWE,edge,temp0.7_sample1,0.16619318181818182,,,0.026164874551971327,0.0035842293906810036,
gpt-oss-20b,trail-GAIA,edge,temp0.7_sample2,0.3072962869733574,,,0.10754985754985756,0.051505901505901515,
gpt-oss-20b,trail-SWE,edge,temp0.7_sample2,0.21468955262005548,,,0.01075268817204301,0.005376344086021505,
gpt-oss-20b,trail-GAIA,edge,temp0.7_sample3,0.28197989876532087,,,0.08276353276353277,0.030565730565730566,
gpt-oss-20b,trail-SWE,edge,temp0.7_sample3,0.127159209157128,,,0.03225806451612903,0.0,
gpt-oss-20b,trail-GAIA,edge,temp0.7_mean,0.28528198576117303,0.020563076098517794,3,,,
gpt-oss-20b,trail-SWE,edge,temp0.7_mean,0.16934731453178845,0.043850332627766865,3,,,
gpt-oss-20b,mast,baseline,temp0.7_sample1,0.1848,,,,,0.129
gpt-oss-20b,mast,baseline,temp0.7_sample2,0.1785,,,,,0.1223
gpt-oss-20b,mast,baseline,temp0.7_sample3,0.1726,,,,,0.1191
