backbone,benchmark,variant,scope,weighted_f1,weighted_f1_std,n_samples,loc,joint,macro_f1
mistral-24b,trail,baseline,temp0.7_sample1,0.2708226455858392,,,0.21762923637923642,0.039004914004914,
mistral-24b,trail,baseline,temp0.7_sample2,0.3051681851111383,,,0.2499249249249249,0.04857625482625483,
mistral-24b,trail,baseline,temp0.7_sample3,0.27198190615407875,,,0.2486727799227799,0.05395752895752896,
mistral-24b,trail,baseline,temp0.7_mean,0.2826575789503521,0.019503371851061775,3,,,
mistral-24b,trail,edge,temp0.7_sample1,0.26358313183929016,,,0.1718093093093093,0.03186936936936936,
mistral-24b,trail,edge,temp0.7_sample2,0.338720291037118,,,0.28359609609609615,0.05274024024024025,
mistral-24b,trail,edge,temp0.7_sample3,0.37125828939181216,,,0.2933183183183184,0.07019787644787645,
mistral-24b,trail,edge,temp0.7_mean,0.32452057075607343,0.0552241698039458,3,,,
mistral-24b,mast,baseline,temp0.7_sample1,0.3583,,,,,0.2749
mistral-24b,mast,baseline,temp0.7_sample2,0.3228,,,,,0.235
mistral-24b,mast,baseline,temp0.7_sample3,0.3322,,,,,0.2527
mistral-24b,mast,baseline,temp0.7_mean,0.33776666666666666,0.018393024039927038,3,,,
mistral-24b,mast,edge,temp0.7_sample1,0.3819,,,,,0.2925
mistral-24b,mast,edge,temp0.7_sample2,0.3297,,,,,0.2394
mistral-24b,mast,edge,temp0.7_sample3,0.3469,,,,,0.2626
mistral-24b,mast,edge,temp0.7_mean,0.35283333333333333,0.02660100248737506,3,,,
gpt-oss-120b,trail,baseline,temp0.7_sample1,0.24860506057377288,,,0.128469540969541,0.046243564993564995,
gpt-oss-120b,trail,baseline,temp0.7_sample2,0.2336263050905028,,,0.14832689832689833,0.04950933075933076,
gpt-oss-120b,trail,baseline,temp0.7_sample3,0.23739880906512764,,,0.14753861003861007,0.05401383526383527,
gpt-oss-120b,trail,baseline,temp0.7_mean,0.2398767249098011,0.007790752797827767,3,,,
gpt-oss-120b,trail,edge,temp0.7_sample1,0.32012482474787507,,,0.1787912912912913,0.07400257400257401,
gpt-oss-120b,trail,edge,temp0.7_sample2,0.35559497024429354,,,0.18254504504504507,0.053627734877734874,
gpt-oss-120b,trail,edge,temp0.7_sample3,0.3601295086059017,,,0.1447072072072072,0.044208494208494216,
gpt-oss-120b,trail,edge,temp0.7_mean,0.3452831011993568,0.0219053569942402,3,,,
gpt-oss-120b,mast,baseline,temp0.7_sample1,0.2325,,,,,0.1695
gpt-oss-120b,mast,baseline,temp0.7_sample2,0.2283,,,,,0.1666
gpt-oss-120b,mast,baseline,temp0.7_sample3,0.2153,,,,,0.157
gpt-oss-120b,mast,baseline,temp0.7_mean,0.22536666666666666,0.008967348177322743,3,,,
gpt-oss-120b,mast,edge,temp0.7_sample1,0.2782,,,,,0.2064
gpt-oss-120b,mast,edge,temp0.7_sample2,0.2574,,,,,0.1859
gpt-oss-120b,mast,edge,temp0.7_sample3,0.2681,,,,,0.1916
gpt-oss-120b,mast,edge,temp0.7_mean,0.2679,0.010401442207694078,3,,,
gpt-oss-20b,trail,baseline,temp0.7_sample1,0.20917974800609246,,,0.08108108108108109,0.024501287001287002,
gpt-oss-20b,trail,baseline,temp0.7_sample2,0.203368861875319,,,0.06674174174174173,0.028104890604890607,
gpt-oss-20b,trail,baseline,temp0.7_sample3,0.18536382092004478,,,0.061223723723723714,0.01628056628056628,
gpt-oss-20b,trail,baseline,temp0.7_mean,0.1993041436004854,0.012417368752368978,3,,,
gpt-oss-20b,trail,edge,temp0.7_sample1,0.2455449453183108,,,0.07372372372372372,0.018430930930930928,
gpt-oss-20b,trail,edge,temp0.7_sample2,0.28789893045340903,,,0.08727477477477479,0.041843629343629354,
gpt-oss-20b,trail,edge,temp0.7_sample3,0.24955124080684807,,,0.07218468468468468,0.024163449163449164,
gpt-oss-20b,trail,edge,temp0.7_mean,0.260998372192856,0.023382528240813175,3,,,
gpt-oss-20b,mast,baseline,temp0.7_sample1,0.1848,,,,,0.129
gpt-oss-20b,mast,baseline,temp0.7_sample2,0.1785,,,,,0.1223
gpt-oss-20b,mast,baseline,temp0.7_sample3,0.1726,,,,,0.1191
gpt-oss-20b,mast,baseline,temp0.7_mean,0.17863333333333334,0.006101092798288948,3,,,
gpt-oss-20b,mast,edge,temp0.7_sample1,0.1991,,,,,0.1419
gpt-oss-20b,mast,edge,temp0.7_sample2,0.2217,,,,,0.1563
gpt-oss-20b,mast,edge,temp0.7_sample3,0.2287,,,,,0.1594
gpt-oss-20b,mast,edge,temp0.7_mean,0.2165,0.015469970911414149,3,,,
qwenlong-32b,trail,baseline,temp0.7_sample1,0.10482374568180346,,,0.04560810810810811,0.013400900900900901,
qwenlong-32b,trail,baseline,temp0.7_sample2,0.2060284605992941,,,0.10270270270270268,0.02939189189189189,
qwenlong-32b,trail,baseline,temp0.7_sample3,0.1235198810235936,,,0.05281531531531532,0.017004504504504504,
qwenlong-32b,trail,baseline,temp0.7_mean,0.1447906957682304,0.05385103759732149,3,,,
qwenlong-32b,trail,edge,temp0.7_sample1,0.2717480656426923,,,0.1260135135135135,0.02861969111969112,
qwenlong-32b,trail,edge,temp0.7_sample2,0.22869792853581225,,,0.196010296010296,0.06578185328185328,
qwenlong-32b,trail,edge,temp0.7_sample3,0.2524536066128812,,,0.12015765765765767,0.02567567567567567,
qwenlong-32b,trail,edge,temp0.7_mean,0.2509665335971286,0.021563559906609294,3,,,
qwenlong-32b,mast,baseline,temp0.7_sample1,0.1381,,,,,0.0973
qwenlong-32b,mast,baseline,temp0.7_sample2,0.1414,,,,,0.1036
qwenlong-32b,mast,baseline,temp0.7_sample3,0.131,,,,,0.097
